               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071525,            0.023843,            0.032392,              0.4485,             0.58398,             0.50551,             0.26984,            0.040042,           0.0089969,            0.018586,            0.070101,           0.0033221,           0.0033221
                   1,            0.048869,            0.015277,            0.011184,             0.62057,             0.72903,             0.68242,             0.40782,            0.038688,           0.0067378,           0.0079211,            0.039772,            0.006326,            0.006326
                   2,            0.044006,            0.012632,           0.0074542,             0.79406,              0.7781,             0.84262,              0.4735,            0.036536,            0.005914,            0.010114,           0.0091121,           0.0089999,           0.0089999
                   3,            0.037729,            0.011305,           0.0066227,             0.67888,              0.6422,             0.73063,             0.41746,            0.034547,           0.0065731,            0.027634,            0.008515,            0.008515,            0.008515
                   4,             0.03515,            0.010721,           0.0060722,             0.87063,             0.81058,             0.89672,              0.5642,            0.027825,           0.0056354,           0.0061708,            0.008515,            0.008515,            0.008515
                   5,            0.032366,            0.010297,            0.005048,             0.89953,             0.82054,             0.91679,             0.64117,            0.026021,           0.0055282,           0.0039514,             0.00802,             0.00802,             0.00802
                   6,            0.031029,            0.010088,           0.0043698,             0.90777,             0.84965,             0.92228,             0.64871,            0.024706,           0.0052021,           0.0023153,            0.007525,            0.007525,            0.007525
                   7,            0.029504,           0.0098235,           0.0036057,             0.88856,              0.9026,             0.92896,             0.69028,            0.023339,           0.0049379,           0.0027821,             0.00703,             0.00703,             0.00703
                   8,            0.027899,           0.0095751,           0.0031284,             0.91681,             0.90282,             0.94233,             0.68567,            0.023323,           0.0047835,           0.0017342,            0.006535,            0.006535,            0.006535
                   9,            0.026634,           0.0091088,           0.0029195,             0.90268,             0.89922,             0.93864,             0.68821,            0.022932,           0.0049055,           0.0025288,             0.00604,             0.00604,             0.00604
                  10,            0.025885,           0.0091463,           0.0028621,             0.91456,             0.91109,             0.95199,             0.68002,            0.021915,           0.0046862,           0.0018348,            0.005545,            0.005545,            0.005545
                  11,            0.025117,           0.0088785,           0.0027448,             0.91575,             0.90437,             0.95034,             0.71506,            0.021576,           0.0045673,           0.0017916,             0.00505,             0.00505,             0.00505
                  12,            0.024091,           0.0084941,           0.0020902,             0.92164,             0.92098,               0.952,             0.72787,            0.020741,           0.0044525,           0.0014784,            0.004555,            0.004555,            0.004555
                  13,            0.023151,           0.0084923,           0.0020475,               0.923,               0.917,             0.95335,             0.73243,            0.020268,           0.0044586,           0.0015724,             0.00406,             0.00406,             0.00406
                  14,            0.022335,           0.0081125,           0.0017754,             0.95318,             0.91751,             0.96142,             0.74035,            0.020365,           0.0042751,           0.0012736,            0.003565,            0.003565,            0.003565
                  15,            0.021792,           0.0079707,           0.0015166,             0.94616,             0.92339,             0.96296,             0.73356,            0.019787,           0.0043891,           0.0011487,             0.00307,             0.00307,             0.00307
                  16,            0.020941,           0.0076906,           0.0013124,             0.95013,             0.92393,             0.96169,             0.74988,            0.019783,           0.0042187,          0.00094428,            0.002575,            0.002575,            0.002575
                  17,            0.020821,           0.0078449,           0.0014297,              0.9324,              0.9397,             0.96073,             0.74248,            0.019326,           0.0042179,          0.00086684,             0.00208,             0.00208,             0.00208
                  18,            0.020004,           0.0074698,           0.0014976,             0.93164,             0.93717,             0.96218,             0.75641,            0.019174,           0.0041399,          0.00077353,            0.001585,            0.001585,            0.001585
                  19,            0.019249,            0.007651,           0.0012455,             0.94405,             0.94467,             0.96814,             0.75357,            0.018962,           0.0040844,          0.00070206,             0.00109,             0.00109,             0.00109
